codigo_interno;descricao_do_produto
000603;ANTI CHAMA
000604;COTOVELO VALVULA TERMOSTATICA
000605;COXIM AMORT DT
000606;KIT BARRA ESTABILIZADORA DT
000607;SUPORTE MOTOR TRASEIRO
000608;BUCHA ARTICULACAO SEMI-EIXO
000609;BATENTE AMORT TS
000610;JUNTA BOMBA COMBUSTIVEL CARBURADOR
000611;CATRACA EMBREAGEM
000612;RETENTOR CAIXA (EIXO PILOTO)
000613;BUCHA AGREGADO SUSP DT
000614;COXIM ESCAPAMENTO
000615;COIFA AMORTECEDOR (DT) LOGUS ESCORT 93/
000616;BUCHA LEQUE CENTRAL SUSP TS
000617;BUCHA AGREGADO SUSP TS
000618;COIFA AMORT.(TS) FIESTA KA ESCORT ZETEC
000619;BORRACHA RAD.OLEO FUSCA TDS
000620;BORRACHA RAD.OLEO VARIANT
000621;CALCO ESPACADOR INFERIOR MOLA TS
000622;JUNTA BOMBA COMBUSTIVEL CARBURADOR
000623;BUCHA CAIXA DIRECAO
000624;KIT BARRA ESTAB DT DIREITO
000625;KIT BARRA ESTAB DT ESQUERDO
000626;COXIM ESCAPAMENTO
000627;JUNTA BOMBA COMBUSTIVEL CARBURADOR
000628;CILINDRO EMBREAGEM MESTRE ( PEDAL )
000629;FLEXIVEL FREIO TS
000630;FLEXIVEL FREIO (TS) OPALA CARAVAN 80/
000631;FLEXIVEL FREIO (TS) OPALA/CARA /79
000632;CEBOLAO RADIADOR S/ACD
000633;JUNTA BOMBA COMBUSTIVEL CARBURADOR
000634;FLEXIVEL FREIO (TS) BRASILIA - KOMBI ESQ
000635;BUCHA VARAO PEQUENA ( ALAVANCA )
000636;ANEL BORRACHA COLETOR ADMISSAO
000637;BUCHA LEQUE TS SUSP DIANT
000638;KIT BARRA ESTAB DT DIREITO
000639;TAMPA COMBUSTIVEL
000640;COXIM RADIADOR
000641;BIELETA DT
000642;PLATINADO DISTRIBUIDOR
000643;CANO DAGUA
000644;CANO DAGUA
000645;PLATINADO DODGE AERO RURAL (S.BOSCH) ICE
000646;BUCHA BRACO TENSOR
000647;BUCHA BARRA ESTABILIZADORA DT
000648;BIELETA DT
000649;REPARO BICO PONTA INFERIOR CRYSTAL
000650;BUCHA/BATENTE AMORT TS ( INFERIOR )
000651;BUCHA/BATENTE AMORT TS ( SUPERIOR )
000652;BUCHA AGREGADO SUSP DT
000653;KIT BARRA ESTABILIZADORA DT
000654;BUCHA LEQUE TS SUSP TRAS
000655;KIT BARRA ESTABILIZADORA DT
000656;BUCHA LEQUE TS SUSP DIANT
000657;BUCHA LEQUE TS SUSP DIANT
000658;BATENTE/COIFA AMORT DT
000659;KIT BARRA ESTABILIZADORA DT
000660;BATENTE/COIFA AMORT DT
000661;KIT BARRA ESTABILIZADORA DT
000662;BATENTE/COIFA AMORT DT
000663;BATENTE/COIFA AMORT DT
000664;REPARO CENTR.PATIM PICK-UPS GM FORD =CWB
000665;BATENTE/COIFA AMORT DT
000666;CORREIA ALT
000667;BUCHA AMORT SUSP TS
000668;CANO DAGUA
000669;COIFA CAIXA MONZA /92 CWB
000670;BUCHA BARRA DIRECAO
000671;CONDENSADOR
000672;JUNTA BOMBA COMBUSTIVEL CARBURADOR
000673;ROTOR DISTRIBUICAO
000674;BUCHA BRACO LONG SUSP TS
000675;BUCHA BRACO TRANSVERSAL SUSP TS
000676;JUNTA BOMBA COMBUSTIVEL CARBURADOR
000677;COXIM MOTOR
000678;BATENTE AMORT TS
000679;CABO ACELERADOR
000680;KIT BARRA ESTAB DT INT
